87.5	_DT_INIT	0x00123000	2 / 3	7 / 8	27
0.0	FUN_00123020	0x00123020	0 / 1	0 / 2	13
100.0	__cxa_finalize	0x00123F10	1 / 1	2 / 2	11
0.0	__printf_chk	0x00123F20	0 / 1	0 / 2	11
0.0	pthread_cond_signal	0x00123F30	0 / 1	0 / 2	11
100.0	lua_close	0x00123F40	1 / 1	2 / 2	11
100.0	mallctl	0x00123F50	1 / 1	2 / 2	11
100.0	__errno_location	0x00123F60	1 / 1	2 / 2	11
0.0	pthread_cancel	0x00123F70	0 / 1	0 / 2	11
100.0	tzset	0x00123F80	1 / 1	2 / 2	11
100.0	uname	0x00123F90	1 / 1	2 / 2	11
0.0	__ctype_toupper_loc	0x00123FA0	0 / 1	0 / 2	11
0.0	rewind	0x00123FB0	0 / 1	0 / 2	11
0.0	redisAsyncSetConnectCallback	0x00123FC0	0 / 1	0 / 2	11
100.0	strtoll	0x00123FD0	1 / 1	2 / 2	11
100.0	bind	0x00123FE0	1 / 1	2 / 2	11
0.0	lua_pushfstring	0x00123FF0	0 / 1	0 / 2	11
0.0	__ctype_tolower_loc	0x00124000	0 / 1	0 / 2	11
0.0	luaL_argerror	0x00124010	0 / 1	0 / 2	11
0.0	lua_checkstack	0x00124020	0 / 1	0 / 2	11
100.0	luaL_loadbuffer	0x00124030	1 / 1	2 / 2	11
0.0	lua_error	0x00124040	0 / 1	0 / 2	11
0.0	lua_concat	0x00124050	0 / 1	0 / 2	11
100.0	sin	0x00124060	1 / 1	2 / 2	11
100.0	strstr	0x00124070	1 / 1	2 / 2	11
100.0	free	0x00124080	1 / 1	2 / 2	11
100.0	socket	0x00124090	1 / 1	2 / 2	11
100.0	strcoll	0x001240A0	1 / 1	2 / 2	11
100.0	fork	0x001240B0	1 / 1	2 / 2	11
100.0	rand	0x001240C0	1 / 1	2 / 2	11
100.0	pthread_setcanceltype	0x001240D0	1 / 1	2 / 2	11
100.0	lua_getfield	0x001240E0	1 / 1	2 / 2	11
0.0	nanosleep	0x001240F0	0 / 1	0 / 2	11
0.0	redisAsyncCommand	0x00124100	0 / 1	0 / 2	11
100.0	accept	0x00124110	1 / 1	2 / 2	11
100.0	strtoul	0x00124120	1 / 1	2 / 2	11
100.0	strerror	0x00124130	1 / 1	2 / 2	11
0.0	pthread_cond_broadcast	0x00124140	0 / 1	0 / 2	11
100.0	write	0x00124150	1 / 1	2 / 2	11
100.0	strchr	0x00124160	1 / 1	2 / 2	11
0.0	luaL_buffinit	0x00124170	0 / 1	0 / 2	11
100.0	round	0x00124180	1 / 1	2 / 2	11
100.0	lua_pushnumber	0x00124190	1 / 1	2 / 2	11
100.0	strlen	0x001241A0	1 / 1	2 / 2	11
100.0	memcmp	0x001241B0	1 / 1	2 / 2	11
0.0	ftruncate64	0x001241C0	0 / 1	0 / 2	11
100.0	unlink	0x001241D0	1 / 1	2 / 2	11
0.0	luaL_prepbuffer	0x001241E0	0 / 1	0 / 2	11
100.0	strncmp	0x001241F0	1 / 1	2 / 2	11
100.0	epoll_wait	0x00124200	1 / 1	2 / 2	11
100.0	lua_toboolean	0x00124210	1 / 1	2 / 2	11
0.0	fdatasync	0x00124220	0 / 1	0 / 2	11
0.0	truncate64	0x00124230	0 / 1	0 / 2	11
0.0	pthread_join	0x00124240	0 / 1	0 / 2	11
100.0	random	0x00124250	1 / 1	2 / 2	11
100.0	getcwd	0x00124260	1 / 1	2 / 2	11
100.0	clearenv	0x00124270	1 / 1	2 / 2	11
0.0	strncpy	0x00124280	0 / 1	0 / 2	11
100.0	lua_settable	0x00124290	1 / 1	2 / 2	11
100.0	lua_pushvalue	0x001242A0	1 / 1	2 / 2	11
100.0	localtime_r	0x001242B0	1 / 1	2 / 2	11
100.0	luaL_checklstring	0x001242C0	1 / 1	2 / 2	11
100.0	memset	0x001242D0	1 / 1	2 / 2	11
0.0	abort	0x001242E0	0 / 1	0 / 2	11
100.0	getrusage	0x001242F0	1 / 1	2 / 2	11
100.0	dlerror	0x00124300	1 / 1	2 / 2	11
100.0	pthread_create	0x00124310	1 / 1	2 / 2	11
0.0	lua_getinfo	0x00124320	0 / 1	0 / 2	11
100.0	__sprintf_chk	0x00124330	1 / 1	2 / 2	11
100.0	lua_createtable	0x00124340	1 / 1	2 / 2	11
100.0	llroundl	0x00124350	1 / 1	2 / 2	11
100.0	__snprintf_chk	0x00124360	1 / 1	2 / 2	11
100.0	sincos	0x00124370	1 / 1	2 / 2	11
100.0	rename	0x00124380	1 / 1	2 / 2	11
100.0	lua_pushcclosure	0x00124390	1 / 1	2 / 2	11
100.0	sysconf	0x001243A0	1 / 1	2 / 2	11
0.0	__assert_fail	0x001243B0	0 / 1	0 / 2	11
100.0	pthread_attr_setstacksize	0x001243C0	1 / 1	2 / 2	11
0.0	lua_gettable	0x001243D0	0 / 1	0 / 2	11
0.0	lua_getallocf	0x001243E0	0 / 1	0 / 2	11
